什么	shen me
地方	di fang
似的	shi de
了解	liao jie
地区	di qu
地上	di shang
地道	di dao
仿佛	fang fu
目的	mu di
的确	di que
地位	di wei
模板	mu ban
模样	mu yang
稀薄	xi bo
吐蕃	tu bo
仡佬	ge lao
困觉	kun jiao
逐行	zhu hang
援藏	yuan zang
外差	wai cha
闲差	xian chai
小差	xiao chai
杂差	za chai
抓差	zhua chai
咋的	za di
怎的	zen di
喜恶	xi wu
农畜	nong chu
弹指	tan zhi
了之	liao zhi
地磅	di bang
地缝	di feng
地府	di fu
地广	di guang
地柜	di gui
地滚	di gun
地沟	di gou
地核	di he
地秤	di cheng
地坑	di keng
地矿	di kuang
地坪	di ping
地勤	di qin
地热	di re
地煞	di sha
地刷	di shua
地政	di zheng
地砖	di zhuan
地轴	di zhou
地缘	di yuan
堕地	duo di
房地	fang di
该地	gai di
甘地	gan di
滚地	gun di
划地	hua di
林地	lin di
锚地	mao di
泥地	ni di
坡地	po di
铺地	pu di
圈地	quan di
热地	re di
入地	ru di
赛地	sai di
三地	san di
贴地	tie di
刷地	shua di
着地	zhao di
征地	zheng di
辖地	xia di
钻地	zuan di
租地	zu di
土地	tu di
各地	ge di
当地	dang di
地下	di xia
地面	di mian
拓印	ta yin
轧账	ga zhang
硬塞	ying sai
乐歌	yue ge
乐池	yue chi
乐律	yue lv
乐音	yue yin
率兵	shuai bing
率团	shuai tuan
率同	shuai tong
扎紧	za jin
摊薄	tan bao
弹拨	tan bo
弹回	tan hui
挺括	ting gua
烂仔	lan zai
杉木	sha mu
一着	yi zhao
党参	dang shen
执着	zhi zhuo
重新	chong xin
银行	yin hang
调整	tiao zheng
部长	bu zhang
木塞	mu sai
打颤	da zhan
大藏	da zang
行业	hang ye
音乐	yin yue
给予	ji yu
天地	tian di
基地	ji di
呢绒	ni rong
协调	xie tiao
睡觉	shui jiao
长老	zhang lao
首都	shou du
长大	zhang da
便宜	pian yi
重重	chong chong
大夫	dai fu
川藏	chuan zang
重复	chong fu
大地	da di
着手	zhuo shou
地址	di zhi
地点	di dian
落地	luo di
西藏	xi zang
局长	ju zhang
角色	jue se
地步	di bu
地狱	di yu
碑拓	bei ta
悲咽	bei ye
重归	chong gui
重九	chong jiu
重考	chong kao
重开	chong kai
重燃	chong ran
重算	chong suan
重弹	chong tan
重张	chong zhang
重选	chong xuan
重影	chong ying
重圆	chong yuan
重游	chong you
还魂	huan hun
差旅	chai lv
差役	chai yi
车行	che hang
称体	chen ben
称身	chen shen
外长	wai zhang
着急	zhao ji
率领	shuai ling
成长	cheng zhang
地球	di qiu
可恶	ke wu
着眼	zhuo yan
院长	yuan zhang
本地	ben di
嫌恶	xian wu
钥匙	yao shi
呼吁	hu yu
特地	te di
市长	shi zhang
会长	hui zhang
调控	tiao kong
内地	na di
成都	cheng du
地板	di ban
重庆	chong qing
厌恶	ya wu
动弹	dong tan
草地	cao di
校长	xiao zhang
主角	zhu jue
生长	sheng zhang
耕地	geng di
率先	shuai xian
原地	yuan di
着想	zhuo xiang
着实	zhuo shi
乾坤	qian kun
明了	ming liao
伺候	ci hou
团长	tuan zhang
余地	yu di
投降	tou xiang
重建	chong jian
长官	zhang guan
家长	jia zhang
未了	wei liao
地震	di zhen
沉着	chen zhuo
对劲	dui jin
厂长	chang zhang
地带	di dai
地图	di tu
使劲	shi jin
船长	chuan zhang
重申	chong shen
议长	yi zhang
了事	liao shi
埋怨	man yuan
长相	zhang xiang
倔强	jue jiang
外地	wai di
地理	di li
乾隆	qian long
行列	hang lie
地毯	di tan
轧刀	zha dao
兄长	xiong zhang
提防	di fang
露面	lou mian
哽咽	geng ye
省长	sheng zhang
心地	xin di
